Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2009-11-05,117.46,120.95,116.25,120.61,119.67333333333333,9086800,0.029533928991479937,1
2009-11-06,123.0,126.98,122.67,126.2,125.39333333333333,13226000,0.045305750511961264,1
2009-11-09,127.11,128.32,125.59,126.67,127.36666666666667,8624200,0.0037173293884282892,1
2009-11-10,126.8,130.61,126.0,130.15,129.1866666666667,10529300,0.027102351945033226,1
2009-11-11,131.08,131.31,128.33,129.91,130.76666666666665,7434200,-0.0018457284329329723,-1
2009-11-12,129.98,132.15,129.98,130.53,130.88666666666666,7210100,0.004761182393056934,1
2009-11-13,131.16,132.99,129.75,132.97,132.37333333333333,7376800,0.018520453467916097,1
2009-11-16,132.12,134.56,130.98,131.59,132.75666666666666,9018300,-0.010432510706565206,-1
2009-11-17,131.4,131.85,129.32,131.25,131.5,7748000,-0.002587126690316076,-1
2009-11-18,130.9,131.41,129.53,131.29,131.20000000000002,5213500,0.00030471547428576474,1
2009-11-19,130.54,130.54,128.48,128.99,130.02333333333334,5998200,-0.0176737349689741,-1
2009-11-20,127.76,129.99,127.41,129.66,129.13666666666666,6652600,0.005180757769804665,1
2009-11-23,131.05,133.0,131.0,133.0,132.35,6878100,0.025433488474904137,1
2009-11-24,133.57,134.33,132.22,132.94,133.61333333333332,7319700,-0.00045122960831802463,-1
2009-11-25,133.31,134.2,132.4,134.03,133.84666666666666,5071200,0.008165756876969573,1
2009-11-27,130.3,133.0,129.88,131.74,131.68,4422600,-0.017233372277858393,-1
2009-11-30,132.19,136.08,132.16,135.91,134.72666666666666,10119500,0.03116261875470894,1
2009-12-01,136.94,139.35,135.75,138.5,138.26333333333332,9657600,0.018877423660137196,1
2009-12-02,139.15,142.67,138.96,142.25,141.35666666666665,11798000,0.026715747379047056,1
2009-12-03,143.62,145.91,140.77,141.17,143.56666666666663,16523500,-0.007621235110332151,-1
2009-12-04,143.42,143.45,135.11,137.58,141.48333333333335,14827400,-0.02575927179823999,-1
2009-12-07,138.0,139.0,133.84,134.21,137.07000000000002,7837000,-0.024799828688153596,-1
2009-12-08,134.3,136.08,132.87,134.11,134.83,8002800,-0.0007453786868657182,-1
2009-12-09,134.6,134.71,129.82,131.31,133.54,12632900,-0.02109941885193523,-1
2009-12-10,132.41,136.19,132.4,135.38,134.66,11343600,0.030524699209547826,1
2009-12-11,136.07,136.29,133.2,134.15,135.50333333333333,8046700,-0.009127062208828375,-1
2009-12-14,132.5,132.61,129.35,131.38,132.16333333333333,10022900,-0.02086468940730639,-1
2009-12-15,130.76,132.46,129.59,130.23,131.15,7428800,-0.008791769484715007,-1
2009-12-16,130.93,131.45,127.65,128.36,130.24666666666667,10261300,-0.014463301737955604,-1
2009-12-17,129.36,130.08,126.9,126.91,128.78333333333333,8476500,-0.01136064241958331,-1
2009-12-18,127.91,128.79,125.65,128.48,128.39333333333332,9605400,0.012295076376378477,1
2009-12-21,130.48,133.2,130.19,132.79,132.15666666666664,9473600,0.03299568280378459,1
2009-12-22,133.76,135.99,132.65,133.75,134.5,8257500,0.007203452773879955,1
2009-12-23,134.8,139.05,134.35,138.94,137.59666666666666,9546100,0.03806979948861899,1
2009-12-24,139.2,139.7,137.54,138.47,139.12333333333333,5128800,-0.0033884895981122613,-1
2009-12-28,139.75,141.98,138.53,139.31,140.34666666666666,8763900,0.006047970051510948,1
2009-12-29,141.29,142.58,138.55,139.41,141.09333333333333,8400600,0.0007175660468629962,1
2009-12-30,138.4,138.4,135.28,136.49,137.76333333333335,6913200,-0.02116787989689239,-1
2009-12-31,137.09,137.28,134.52,134.52,136.29666666666665,4523000,-0.01453846499603529,-1
